id,car_id,owner_id,vin,gos_num,mark,model,horse_power,car_weight,sts_serial,sts_num,engine_type,car_class,release_date,reg_date
1,1905,230,58BEXZCOQ29F2RJSK,О987МС36,Hyundai,Tucson,535,1140,7322,329691,hybrid,J,2020-06-24,2023-05-27
2,914,596,B01ARDRQ3FNKQDTYS,Х433ВО74,Ford,Explorer,672,886,6236,992307,electric,E,2013-03-26,2022-09-09
3,322,551,P4C3Y5YJ4X0B67YWP,Т665НН14,Hyundai,Tucson,519,1516,5936,698125,diesel,C,2020-02-11,2023-07-25
4,1288,249,SN4T9MVWHMT5BZFAK,К841ВН64,Volkswagen,Touareg,716,2830,5189,733765,petrol,M,2014-04-08,2024-08-08
5,1699,299,5VVL6K7XFZL82AK7B,К503МО07,Hyundai,Elantra,169,2282,6595,937454,petrol,B,2017-01-23,2019-07-25
6,1947,573,LOVZEMX4VITM105Y8,Х000ВК46,Audi,Q5,583,2598,6115,958166,diesel,S,2018-04-03,2020-08-14
7,797,983,791IE46CHCKHMCTFW,О638СЕ89,Ford,Mustang,103,2424,7635,533099,petrol,J,2021-01-29,2022-02-15
8,947,786,6MBDZEKVBNWOEM61H,Е770ВК49,Mercedes,GLC,566,2718,8012,451953,hybrid,D,2019-04-09,2020-03-10
9,694,976,M4LW4NTOR3ZMLCXBI,С257ОХ06,Ford,Focus,666,2934,6409,860391,electric,F,2006-11-01,2013-10-24
10,1685,531,MVS5T90QIUMAOVPR0,Х104МК58,Mercedes,C-Class,175,3415,5792,276346,electric,M,2021-10-23,2022-12-20
11,898,293,VW7214SH943U6RVEO,А858РХ36,Ford,F-150,241,2751,6692,490723,petrol,S,2009-03-11,2020-10-01
12,716,787,OZTKAG6922QN31ATM,Р012АЕ86,Mercedes,GLC,66,1183,5150,460510,electric,J,2020-04-04,2020-04-19
13,186,261,3ER8J5YWQOGH04HHX,Н700ХУ21,Lexus,GX,168,3359,2361,249071,petrol,C,2011-03-26,2015-04-22
14,1688,276,RBVTEHA6EWUU7ZB6R,Р202МЕ56,Kia,Sportage,502,3066,8652,432898,diesel,M,2023-12-26,2024-12-31
15,1969,262,GHWGDDW16G9TV6M67,Х246ТН82,Mercedes,GLE,288,1087,8073,803877,hybrid,M,2010-04-13,2018-10-18
16,854,312,0NFFW5TKRI2HH8ZI9,У376ВМ15,Toyota,Camry,113,3497,6178,419466,electric,B,2018-08-15,2019-07-20
17,860,762,S261LQ3NDVE5TIY3G,В574ВК90,BMW,7 Series,272,951,7707,140529,electric,B,2005-05-25,2008-06-24
18,1383,829,DV133UUH4RO7QYBIW,А554СА38,Honda,Fit,144,2111,4623,908288,petrol,C,2007-10-11,2010-09-02
19,135,730,5RMPSQYTPJGKGJ52W,У905ОМ26,Audi,A6,642,1821,2545,846807,electric,E,2014-06-16,2020-04-18
20,923,809,5EY0XESAY4S5LM7SZ,С503МТ01,Kia,Sportage,542,3049,6401,864739,electric,F,2022-12-21,2023-05-06
21,1421,918,GVI7FNDLQ5GA0R9ZT,А727ВУ35,Volkswagen,Touareg,638,3248,8232,532148,electric,J,2013-08-24,2016-05-24
22,47,158,NB2HF0XF22Z17EZSF,К675КВ85,Hyundai,Elantra,488,2500,2292,377200,petrol,E,2015-07-01,2016-02-25
23,1849,857,L9OO2QCKO8HD1XQ31,В765ВН38,BMW,5 Series,166,2438,1853,986799,diesel,M,2010-04-17,2024-05-18
24,904,181,JCPU8DGXTATUQST98,У241УА99,Hyundai,Santa Fe,533,1506,1496,771636,diesel,C,2008-04-19,2019-01-04
25,1934,950,P4UJJUXBVGPEE20X8,Е152УР10,Mercedes,S-Class,144,1993,2713,603201,electric,F,2006-04-29,2016-09-26
26,1929,907,VTCWELEYS7XD7J1S5,Т552РК37,Toyota,Camry,479,2976,7707,777900,hybrid,M,2008-04-06,2015-12-14
27,114,923,JQIW792M1OGGBIC4N,В934СО44,Audi,A4,773,1439,1616,786214,petrol,S,2020-07-31,2020-10-03
28,1138,345,U0YH6XIJ9GU8A3UVW,У491ХР76,Honda,Fit,537,1507,9491,152449,diesel,B,2022-10-26,2023-04-02
29,377,283,TDO26Z5RJVTXXH0VI,Т043СК20,Toyota,RAV4,405,3347,4761,155708,hybrid,B,2007-04-09,2011-12-08
30,1442,928,747HTC31IP5V4SN03,Т181РА86,Honda,CR-V,226,2176,6442,854419,electric,A,2017-10-08,2019-07-17
31,219,629,24JPKSHNTPKSTUJ19,Р467ВУ07,Hyundai,Tucson,293,2761,5901,817089,electric,B,2021-10-11,2024-09-16
32,91,950,AIO0PHXVC0PGZC83I,Р635АЕ74,Hyundai,Tucson,398,2201,3542,681340,hybrid,D,2009-07-12,2010-10-13
33,1987,342,3ZTAT1O3J77NSTC7D,М632СО28,BMW,X3,639,1349,7468,720614,petrol,C,2007-08-19,2018-02-04
